X,Y,R,G,B,Temperature_C
0,0,255,255,254,1000.0
0,1,254,254,254,999.5049504950495
0,2,253,253,254,999.009900990099
0,3,251,251,253,998.5148514851485
0,4,250,250,253,998.019801980198
0,5,249,249,252,997.5247524752475
0,6,248,247,252,997.0297029702971
0,7,247,246,252,996.5346534653465
0,8,245,245,251,996.039603960396
0,9,243,243,251,995.5445544554456
0,10,241,242,250,995.049504950495
0,11,239,241,250,994.5544554455446
0,12,237,239,249,994.059405940594
0,13,235,237,249,993.5643564356436
0,14,233,235,249,993.0693069306931
0,15,232,234,249,992.5742574257425
0,16,230,232,248,992.0792079207921
0,17,228,230,248,991.5841584158416
0,18,227,228,248,991.0891089108911
0,19,225,227,248,990.5940594059406
0,20,223,225,248,990.0990099009902
0,21,222,223,248,989.6039603960396
0,22,220,222,247,989.1089108910891
0,23,219,220,247,988.6138613861386
0,24,217,219,247,988.1188118811881
0,25,215,217,246,987.6237623762377
0,26,214,215,246,987.1287128712871
0,27,212,214,245,986.6336633663366
0,28,210,212,245,986.1386138613861
0,29,209,211,244,985.6435643564356
0,30,207,209,244,985.1485148514852
0,31,206,207,244,984.6534653465346
0,32,204,206,244,984.1584158415842
0,33,202,204,243,983.6633663366337
0,34,201,203,243,983.1683168316831
0,35,199,201,243,982.6732673267327
0,36,198,200,243,982.1782178217821
0,37,196,198,242,981.6831683168317
0,38,194,196,242,981.1881188118812
0,39,192,194,242,980.6930693069307
0,40,191,192,242,980.1980198019802
0,41,189,190,241,979.7029702970297
0,42,187,188,241,979.2079207920792
0,43,186,187,240,978.7128712871287
0,44,184,185,240,978.2178217821782
0,45,182,184,240,977.7227722772277
0,46,181,182,239,977.2277227722773
0,47,179,181,239,976.7326732673267
0,48,178,179,239,976.2376237623762
0,49,176,178,239,975.7425742574258
0,50,174,176,238,975.2475247524752
0,51,173,175,238,974.7524752475248
0,52,171,173,238,974.2574257425742
0,53,169,172,238,973.7623762376238
0,54,168,170,237,973.2673267326733
0,55,166,168,237,972.7722772277227
0,56,165,166,237,972.2772277227723
0,57,163,164,237,971.7821782178218
0,58,161,163,236,971.2871287128713
0,59,160,162,236,970.7920792079208
0,60,158,161,236,970.2970297029703
0,61,157,160,235,969.8019801980198
0,62,155,159,235,969.3069306930693
0,63,153,158,235,968.8118811881188
0,64,152,156,234,968.3168316831683
0,65,150,154,234,967.8217821782179
0,66,149,152,234,967.3267326732673
0,67,147,150,233,966.8316831683169
0,68,145,148,233,966.3366336633663
0,69,144,146,233,965.8415841584158
0,70,142,144,233,965.3465346534654
0,71,141,143,232,964.8514851485148
0,72,139,141,232,964.3564356435644
0,73,137,139,232,963.8613861386139
0,74,136,137,232,963.3663366336634
0,75,134,135,231,962.8712871287129
0,76,133,133,231,962.3762376237623
0,77,131,131,230,961.8811881188119
0,78,130,130,230,961.3861386138614
0,79,128,128,229,960.8910891089109
0,80,126,126,229,960.3960396039604
0,81,125,125,229,959.90099009901
0,82,123,123,229,959.4059405940594
0,83,122,122,228,958.9108910891089
0,84,120,120,228,958.4158415841584
0,85,118,118,228,957.9207920792079
0,86,116,117,228,957.4257425742575
0,87,115,115,228,956.9306930693069
0,88,113,113,227,956.4356435643565
0,89,111,112,227,955.940594059406
0,90,109,110,227,955.4455445544554
0,91,108,109,227,954.950495049505
